sw_longitude,sw_latitude,ne_longitude,ne_latitude,box_rating
-122.514941,37.70814,-122.508941,37.71214,0.0
-122.508941,37.70814,-122.50294099999999,37.71214,0.0
-122.50294099999999,37.70814,-122.49694099999999,37.71214,0.0
-122.49694099999999,37.70814,-122.49094099999999,37.71214,0.0
-122.49094099999999,37.70814,-122.48494099999999,37.71214,0.0
-122.48494099999999,37.70814,-122.47894099999999,37.71214,0.0
-122.47894099999999,37.70814,-122.47294099999999,37.71214,0.0
-122.47294099999999,37.70814,-122.46694099999999,37.71214,0.0
-122.46694099999999,37.70814,-122.46094099999999,37.71214,3.25
-122.46094099999999,37.70814,-122.45494099999999,37.71214,0.0
-122.45494099999999,37.70814,-122.44894099999999,37.71214,4.0
-122.44894099999999,37.70814,-122.44294099999999,37.71214,3.5
-122.44294099999999,37.70814,-122.43694099999999,37.71214,0.0
-122.43694099999999,37.70814,-122.43094099999999,37.71214,0.0
-122.43094099999999,37.70814,-122.42494099999999,37.71214,0.0
-122.42494099999999,37.70814,-122.41894099999999,37.71214,0.0
-122.41894099999999,37.70814,-122.41294099999999,37.71214,0.0
-122.41294099999999,37.70814,-122.40694099999999,37.71214,0.0
-122.40694099999999,37.70814,-122.40094099999999,37.71214,3.31
-122.40094099999999,37.70814,-122.39494099999999,37.71214,0.0
-122.39494099999999,37.70814,-122.38894099999999,37.71214,4.5
-122.38894099999999,37.70814,-122.38294099999999,37.71214,0.0
-122.38294099999999,37.70814,-122.37694099999999,37.71214,0.0
-122.37694099999999,37.70814,-122.37094099999999,37.71214,0.0
-122.37094099999999,37.70814,-122.36494099999999,37.71214,0.0
-122.36494099999999,37.70814,-122.35894099999999,37.71214,0.0
-122.35894099999999,37.70814,-122.35294099999999,37.71214,0.0
-122.514941,37.71214,-122.508941,37.716139999999996,0.0
-122.508941,37.71214,-122.50294099999999,37.716139999999996,0.0
-122.50294099999999,37.71214,-122.49694099999999,37.716139999999996,0.0
-122.49694099999999,37.71214,-122.49094099999999,37.716139999999996,0.0
-122.49094099999999,37.71214,-122.48494099999999,37.716139999999996,0.0
-122.48494099999999,37.71214,-122.47894099999999,37.716139999999996,0.0
-122.47894099999999,37.71214,-122.47294099999999,37.716139999999996,0.0
-122.47294099999999,37.71214,-122.46694099999999,37.716139999999996,3.25
-122.46694099999999,37.71214,-122.46094099999999,37.716139999999996,2.08
-122.46094099999999,37.71214,-122.45494099999999,37.716139999999996,0.0
-122.45494099999999,37.71214,-122.44894099999999,37.716139999999996,4.25
-122.44894099999999,37.71214,-122.44294099999999,37.716139999999996,3.38
-122.44294099999999,37.71214,-122.43694099999999,37.716139999999996,3.67
-122.43694099999999,37.71214,-122.43094099999999,37.716139999999996,3.83
-122.43094099999999,37.71214,-122.42494099999999,37.716139999999996,0.0
-122.42494099999999,37.71214,-122.41894099999999,37.716139999999996,0.0
-122.41894099999999,37.71214,-122.41294099999999,37.716139999999996,0.0
-122.41294099999999,37.71214,-122.40694099999999,37.716139999999996,0.0
-122.40694099999999,37.71214,-122.40094099999999,37.716139999999996,0.0
-122.40094099999999,37.71214,-122.39494099999999,37.716139999999996,4.33
-122.39494099999999,37.71214,-122.38894099999999,37.716139999999996,0.0
-122.38894099999999,37.71214,-122.38294099999999,37.716139999999996,0.0
-122.38294099999999,37.71214,-122.37694099999999,37.716139999999996,0.0
-122.37694099999999,37.71214,-122.37094099999999,37.716139999999996,0.0
-122.37094099999999,37.71214,-122.36494099999999,37.716139999999996,0.0
-122.36494099999999,37.71214,-122.35894099999999,37.716139999999996,0.0
-122.35894099999999,37.71214,-122.35294099999999,37.716139999999996,0.0
-122.514941,37.71614,-122.508941,37.72014,0.0
-122.508941,37.71614,-122.50294099999999,37.72014,0.0
-122.50294099999999,37.71614,-122.49694099999999,37.72014,0.0
-122.49694099999999,37.71614,-122.49094099999999,37.72014,0.0
-122.49094099999999,37.71614,-122.48494099999999,37.72014,0.0
-122.48494099999999,37.71614,-122.47894099999999,37.72014,0.0
-122.47894099999999,37.71614,-122.47294099999999,37.72014,3.67
-122.47294099999999,37.71614,-122.46694099999999,37.72014,0.0
-122.46694099999999,37.71614,-122.46094099999999,37.72014,0.0
-122.46094099999999,37.71614,-122.45494099999999,37.72014,0.0
-122.45494099999999,37.71614,-122.44894099999999,37.72014,0.0
-122.44894099999999,37.71614,-122.44294099999999,37.72014,0.0
-122.44294099999999,37.71614,-122.43694099999999,37.72014,3.7
-122.43694099999999,37.71614,-122.43094099999999,37.72014,0.0
-122.43094099999999,37.71614,-122.42494099999999,37.72014,0.0
-122.42494099999999,37.71614,-122.41894099999999,37.72014,0.0
-122.41894099999999,37.71614,-122.41294099999999,37.72014,0.0
-122.41294099999999,37.71614,-122.40694099999999,37.72014,0.0
-122.40694099999999,37.71614,-122.40094099999999,37.72014,0.0
-122.40094099999999,37.71614,-122.39494099999999,37.72014,0.0
-122.39494099999999,37.71614,-122.38894099999999,37.72014,0.0
-122.38894099999999,37.71614,-122.38294099999999,37.72014,0.0
-122.38294099999999,37.71614,-122.37694099999999,37.72014,0.0
-122.37694099999999,37.71614,-122.37094099999999,37.72014,0.0
-122.37094099999999,37.71614,-122.36494099999999,37.72014,0.0
-122.36494099999999,37.71614,-122.35894099999999,37.72014,0.0
-122.35894099999999,37.71614,-122.35294099999999,37.72014,0.0
-122.514941,37.72014,-122.508941,37.72414,0.0
-122.508941,37.72014,-122.50294099999999,37.72414,0.0
-122.50294099999999,37.72014,-122.49694099999999,37.72414,0.0
-122.49694099999999,37.72014,-122.49094099999999,37.72414,0.0
-122.49094099999999,37.72014,-122.48494099999999,37.72414,0.0
-122.48494099999999,37.72014,-122.47894099999999,37.72414,3.07
-122.47894099999999,37.72014,-122.47294099999999,37.72414,3.55
-122.47294099999999,37.72014,-122.46694099999999,37.72414,0.0
-122.46694099999999,37.72014,-122.46094099999999,37.72414,0.0
-122.46094099999999,37.72014,-122.45494099999999,37.72414,0.0
-122.45494099999999,37.72014,-122.44894099999999,37.72414,3.31
-122.44894099999999,37.72014,-122.44294099999999,37.72414,3.17
-122.44294099999999,37.72014,-122.43694099999999,37.72414,3.95
-122.43694099999999,37.72014,-122.43094099999999,37.72414,4.15
-122.43094099999999,37.72014,-122.42494099999999,37.72414,4.25
-122.42494099999999,37.72014,-122.41894099999999,37.72414,0.0
-122.41894099999999,37.72014,-122.41294099999999,37.72414,0.0
-122.41294099999999,37.72014,-122.40694099999999,37.72414,0.0
-122.40694099999999,37.72014,-122.40094099999999,37.72414,0.0
-122.40094099999999,37.72014,-122.39494099999999,37.72414,3.25
-122.39494099999999,37.72014,-122.38894099999999,37.72414,0.0
-122.38894099999999,37.72014,-122.38294099999999,37.72414,0.0
-122.38294099999999,37.72014,-122.37694099999999,37.72414,0.0
-122.37694099999999,37.72014,-122.37094099999999,37.72414,0.0
-122.37094099999999,37.72014,-122.36494099999999,37.72414,0.0
-122.36494099999999,37.72014,-122.35894099999999,37.72414,0.0
-122.35894099999999,37.72014,-122.35294099999999,37.72414,0.0
-122.514941,37.72414,-122.508941,37.728139999999996,0.0
